700,1500,2600,1
550,1550,2400,1
700,1500,2600,1
700,1600,2700,1
550,1600,2600,1
600,1250,2700,1
550,1200,2500,1
550,1700,2600,1
550,1400,2550,1
600,1600,2600,1
550,2000,2700,1
500,1750,2600,1
650,1600,2700,1
550,1800,2600,1
600,1400,2600,1
650,1200,2500,2
650,1200,2500,2
600,1200,2400,2
650,1200,2600,2
700,1150,2500,2
650,1100,2500,2
700,1200,2400,2
700,1200,2550,2
650,1150,2600,2
650,1150,2500,2
700,1150,2600,2
750,1200,2600,2
600,1200,2600,2
650,1200,2550,2
650,1350,2600,2
300,2100,2600,3
300,2100,2750,3
300,2000,2500,3
350,2200,2800,3
300,2200,2700,3
300,2050,2600,3
350,2150,2700,3
300,2100,2750,3
300,2000,2700,3
300,2100,2700,3
300,2100,2700,3
300,2100,2700,3
300,2200,2700,3
350,2200,2700,3
300,2200,2700,3
400,1150,2500,4
300,900,2500,4
350,900,2500,4
300,1200,2500,4
350,1000,2500,4
350,1100,2500,4
350,1250,2500,4
400,1150,2500,4
450,1150,2500,4
350,1100,2500,4
350,1050,2500,4
400,1250,2500,4
350,1150,2500,4
350,900,2500,4
400,1000,2500,4
500,2000,2750,5
550,1800,2700,5
550,1950,2800,5
600,1900,2700,5
550,1900,2550,5
500,1900,2700,5
500,1900,2600,5
650,2000,2700,5
600,1900,2400,5
600,1900,2650,5
600,2000,2650,5
500,1900,2650,5
500,2000,2400,5
600,1900,2400,5
500,1700,2400,5
500,1100,2800,6
450,900,2900,6
500,1000,2800,6
550,1100,2750,6
500,950,2700,6
500,1000,2600,6
500,1000,2900,6
500,900,2800,6
500,1050,2800,6
500,1050,3000,6
500,1050,2900,6
500,1000,3000,6
500,1000,2800,6
500,900,2800,6
500,950,2700,6
